record_id,merchant,merchant_sku,product_name,sale_price,retail_price,currency,ean,manufacturer_part_number,availability,condition,promotion_text,deep_link,last_updated,price_kind,comparability,upstream_origin,product_type,exclusions
aa_0001,BestElectro,C7BF-XM6-5E8,Auralux SilencePro XM6 Wireless Headphones Black,399.99,457.35,USD,00850000100011,AL-XM6-B,in_stock,new,,https://affiliate-a.invalid/click/C7BF-XM6-5E8,2026-08-10T12:00:00Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0002,ValueMart,137D-AB13-M4-563,Orchard AirBook 13 M4 16GB 256GB Midnight,989.35,999.00,USD,00850000200117,AB13M4-16256-MD,limited,new,,https://affiliate-a.invalid/click/137D-AB13-M4-563,2026-08-07T21:13:43.531245Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0003,ValueMart,869E-ABP1-2CB,Orchard Air Buds Pro Lightning Charging Case,206.65,206.65,USD,,,out_of_stock,new,,https://affiliate-a.invalid/click/869E-ABP1-2CB,2026-08-09T21:46:57.551832Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0004,Stride House,90A5-PEG41-6C5,AeroRun Pegasus 41 Men's Black/White US 10 AR41M-BW,117.78,139.99,USD,0085000070061?,AR41M-BW-10,in_stock,new,,https://affiliate-a.invalid/click/90A5-PEG41-6C5,2026-08-10T01:26:59.801175Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0005,HomeHub,4E9D-CV12-90C,Cyclone Home V12 Cordless Vacuum New Standard Tools,534.94,549.99,USD,0085000120111?,CV12-STD,in_stock,new,Plus Club membership required,https://affiliate-a.invalid/click/4E9D-CV12-90C,2026-08-10T18:27:41.696452Z,total_purchase_price,CONDITIONAL,,primary_product,[]
aa_0006,ValueMart,C9BC-VVQ55-25-FCC,VistaView Q Series 55 inch 2025 QLED TV VVQ55-25,657.54,699.99,USD,00850000500415,VVQ55-25,in_stock,new,,https://affiliate-a.invalid/click/C9BC-VVQ55-25-FCC,2026-08-08T04:29:02.402395Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0007,BestElectro,47CB-XM5-25B,Auralux SilencePro XM5 headphones black,279.99,349.99,USD,00850000100035,AL-XM5-B,in_stock,new,,https://affiliate-a.invalid/click/47CB-XM5-25B,2026-05-01T12:00:00Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0008,BestElectro,A30F-NP5-SLIM-DCB,NovaPlay 5 Slim Disc Console 1024GB,466.08,499.99,USD,00850000400319,NP5S-DISC,in_stock,new,,https://affiliate-a.invalid/click/A30F-NP5-SLIM-DCB,2026-08-08T12:36:16.365608Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0009,Glow Market,7C98-LLBC15-D36,Lumina Bright-C Serum 1 fl oz,USD twelve??,42.00,USD,00850001000914,LL-BC15-30,in_stock,new,,https://affiliate-a.invalid/click/7C98-LLBC15-D36,2026-08-10T15:27:23.229976Z,total_purchase_price,UNKNOWN,,primary_product,[]
aa_0010,ValueMart,EBAC-XM6-99C,Auralux XM6 Black includes $50 gift card,429.99,449.99,USD,00850000100028,AL-XM6-B,in_stock,new,"{""gift_card"": {""timing"": ""after_purchase"", ""value"": 50.0}}",https://affiliate-a.invalid/click/EBAC-XM6-99C,2026-08-10T06:34:27.700323Z,total_purchase_price,CONDITIONAL,,primary_product,[]
aa_0011,HomeHub,54E2-XM6-279,Auralux SilencePro XM6 Wireless Headphones XM6 black,405.18,449.99,USD,00850000100011,AL-XM6-B,in_stock,new,,https://affiliate-a.invalid/click/54E2-XM6-279,2026-08-10T14:30:18.103718Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0012,ValueMart,6A9A-AB13-M4-96B,Orchard Air Book M4 13 inch 16 512 AB13 M4 512GB 16GB RAM 13.6 inch midnight,1006.35,1199.00,USD,00850000200124,AB13M4-16512-MD,limited,new,,https://affiliate-a.invalid/click/6A9A-AB13-M4-96B,2026-08-08T01:33:49.634803Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0013,ValueMart,C506-NP5-SLIM-4C3,NovaPlay NP5 Slim with optical drive NP5 SLIM 1000GB disc,412.74,499.99,USD,00850000400319,NP5S-DISC,in_stock,new,,https://affiliate-a.invalid/click/C506-NP5-SLIM-4C3,2026-08-10T07:51:55.598433Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0014,HomeHub,A3BA-VVQ55-24-78E,VistaView Q55 Quantum TV 2024 VVQ55-24 55-inch,449.88,549.99,USD,,,limited,new,coupon SAVE40 required,https://affiliate-a.invalid/click/A3BA-VVQ55-24-78E,2026-08-10T18:27:09.134343Z,total_purchase_price,CONDITIONAL,,primary_product,[]
aa_0015,HomeHub,B8A6-PEG41-27C,AeroRun Pegasus 41 Road Running Shoes PEG41 black/white mens US 11 single pair,135.37,139.99,USD,00850000700624,AR41M-BW-11,in_stock,new,,https://affiliate-a.invalid/click/B8A6-PEG41-27C,2026-08-10T13:14:50.265055Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0016,HomeHub,CAD8-NSS3W-49C,Northline women's Storm Shell rain jacket medium NSS3W black womens,179.62,179.62,USD,00850000800737,NSS3W-M-BLK,in_stock,new,,https://affiliate-a.invalid/click/CAD8-NSS3W-49C,2026-08-10T14:34:44.497300Z,total_purchase_price,COMPARABLE,,primary_product,[]
aa_0017,ValueMart,E1F3-LLBC15-9ED,Lumina Labs Bright-C 15% Vitamin C Serum 2-Pack LLBC15 30 mL standard 2 pack,71.16,76.00,USD,00850001000938,LL-BC15-30-2,in_stock,new,,https://affiliate-a.invalid/click/E1F3-LLBC15-9ED,2026-08-10T13:22:50.932692Z,total_purchase_price,COMPARABLE,,primary_product,[]
